talk_time,battery_power,pc,three_g,mobile_wt,px_width,sc_h,sc_w,m_dep,touch_screen,fc,four_g,price_range,blue,n_cores,wifi,dual_sim,ram,int_memory,px_height,clock_speed
8,977,7,0,181,566,7,1,0,1,2,0,0,1,6,1,1,1206,57,63,1.1
19,733,12,1,138,1787,12,0,0,1,7,0,2,0,4,0,0,2648,16,202,0.8
2,868,7,0,137,1311,13,0,0,0,5,0,0,1,4,1,0,1519,5,40,0.9
14,1373,12,1,127,673,8,3,0,0,2,0,3,1,7,0,1,3800,50,105,1.0
14,1591,16,1,161,1641,10,9,1,1,4,1,0,1,3,1,1,282,52,548,2.2
18,955,10,1,155,1254,14,1,0,1,2,0,1,1,4,0,0,1974,2,428,0.5
12,1655,12,1,105,1348,10,3,0,0,6,1,0,1,3,0,1,673,4,626,0.5
11,1146,10,1,111,583,19,9,0,1,5,1,0,0,5,1,0,291,57,73,3.0
12,1730,10,1,143,1023,14,0,0,1,0,1,1,0,4,0,1,1595,20,418,2.0
17,1240,9,0,146,1756,13,1,0,0,0,0,3,0,2,1,0,3260,39,1511,1.6
8,1563,13,0,151,572,11,1,0,0,10,0,3,0,7,1,1,3922,16,410,1.7
20,1670,20,0,114,1330,6,0,0,0,14,0,3,1,8,1,0,3024,62,1117,3.0
4,554,10,0,105,806,10,7,0,1,0,0,2,1,6,1,0,3764,12,85,1.3
6,1562,10,1,172,1676,16,11,0,1,1,1,3,0,8,0,1,3465,20,678,0.5
20,912,5,0,161,1053,19,5,0,1,1,0,1,1,8,0,0,2330,54,329,2.0
7,1957,16,1,181,1732,12,0,0,0,11,0,3,0,3,1,1,3801,31,396,0.9
7,844,2,1,197,1995,14,11,0,0,1,1,3,0,7,0,1,3154,22,777,2.2
4,1590,15,1,187,1109,6,5,0,0,12,1,3,0,4,0,1,2836,14,1058,1.5
2,879,15,1,83,1105,16,10,0,0,11,1,0,1,6,1,0,349,14,403,2.5
7,957,10,1,107,1485,12,5,0,0,4,0,1,1,5,1,0,1846,7,1201,2.5
13,645,17,1,184,1130,18,2,0,1,6,1,0,0,8,0,0,714,41,741,1.2
8,1170,15,1,83,1722,6,4,0,1,4,0,0,1,8,0,0,1073,30,27,1.2
7,1689,18,0,127,1200,7,2,0,1,17,0,3,0,3,1,0,2766,24,954,1.8
5,1187,6,1,122,1125,10,3,0,1,0,1,2,0,6,0,0,2547,21,215,2.3
9,1778,17,1,132,516,15,13,1,1,3,1,1,0,4,0,1,1624,45,88,1.4
19,1898,4,1,185,739,10,5,0,1,3,1,2,0,7,1,1,2114,56,444,1.8
6,840,8,1,178,1728,12,2,0,1,5,1,2,0,6,0,1,2636,15,526,1.2
15,543,4,1,192,984,17,14,0,0,0,0,1,0,5,0,0,2413,57,391,0.5
20,1299,6,0,187,1838,13,1,0,1,2,0,1,0,8,1,1,1412,60,1333,2.8
16,1923,6,1,154,525,13,0,0,0,5,1,2,0,4,1,1,2519,14,15,1.0
8,1864,6,0,181,1793,19,9,0,0,2,0,3,0,6,1,1,3586,57,1279,1.9
10,1263,2,1,103,644,18,13,0,1,1,1,3,1,2,0,1,3372,32,409,1.4
7,897,10,1,154,994,7,5,0,1,3,1,1,1,8,0,0,1958,2,0,2.0
12,1126,3,1,160,1611,7,6,0,1,2,1,2,1,6,1,0,2050,10,1223,2.4
16,984,20,1,140,707,18,15,0,0,3,1,0,0,3,0,1,841,9,531,0.5
2,1897,7,1,154,738,17,11,0,0,2,1,0,1,2,0,0,412,54,630,1.9
16,755,12,1,186,990,10,1,0,0,5,1,2,1,4,1,0,2734,51,315,2.8
6,1821,18,1,114,1803,7,4,0,1,9,1,2,0,1,1,0,2430,12,97,0.9
9,1664,19,1,177,1929,12,7,0,0,9,1,2,1,7,0,1,1968,15,1178,2.9
3,1880,1,1,104,1019,9,0,0,1,0,1,3,0,4,0,0,2968,7,890,0.5
16,1876,14,1,86,1564,10,8,0,1,10,1,3,0,6,0,0,2513,40,546,0.5
8,1431,1,1,191,952,7,3,0,0,0,1,0,1,1,0,0,461,56,156,0.5
16,1905,20,1,119,1542,13,4,0,0,9,1,1,0,3,0,1,1287,36,825,0.6
11,571,11,1,101,1536,19,10,0,0,5,1,0,1,6,1,1,555,58,31,2.0
3,1944,10,1,132,1079,19,13,0,0,9,1,0,0,7,1,1,769,59,634,0.6
17,1312,0,0,156,1791,14,13,0,1,0,0,3,1,6,0,1,3833,24,115,0.8
19,1195,6,1,80,1001,14,2,0,0,2,1,0,1,6,0,1,643,8,327,1.1
15,1413,6,0,200,1606,5,4,0,1,2,0,2,1,6,0,0,2867,10,314,1.7
17,1368,7,0,115,1145,13,12,0,1,4,0,3,1,7,0,1,2941,9,843,1.6
8,1253,10,1,113,647,7,3,0,1,0,1,3,0,4,1,0,3518,34,161,0.7
17,1807,0,0,125,1415,8,5,0,1,0,0,3,1,3,0,0,2921,16,1221,2.9
20,1949,7,0,199,822,11,5,0,0,4,0,1,0,4,1,1,1433,47,407,2.6
7,518,0,1,128,710,16,12,0,1,0,1,1,1,6,1,0,2514,62,489,2.4
15,1165,12,1,178,831,19,12,0,0,11,0,0,1,6,0,0,764,41,564,2.4
13,1129,10,1,116,1702,11,0,0,1,9,1,1,1,2,0,1,1400,21,1128,0.8
10,1130,14,1,130,1327,6,1,0,1,1,1,0,1,1,1,1,432,29,593,0.5
10,1640,11,1,87,1806,6,1,0,0,1,1,3,0,8,1,1,3235,36,664,0.5
20,832,8,1,198,1431,15,4,0,1,5,1,1,1,1,1,0,1666,22,343,0.5
12,537,2,1,103,1430,10,5,0,1,1,1,1,1,7,1,0,2029,55,1041,2.0
12,713,8,1,89,1760,15,10,0,0,4,1,1,0,2,0,0,2082,63,103,1.6
13,648,20,1,109,1817,5,0,0,0,9,1,3,1,5,0,1,3124,54,1153,0.5
14,1470,9,1,121,1090,10,1,0,0,6,0,3,1,1,1,1,3259,45,777,1.7
11,869,4,1,104,539,13,3,0,0,3,0,3,0,2,0,1,3864,34,478,1.3
6,947,15,1,144,887,17,1,0,1,1,1,2,1,2,1,0,2915,51,193,0.5
7,1564,17,1,189,1965,6,4,0,1,4,1,1,0,6,1,0,1496,25,1259,2.3
18,840,19,1,137,1081,12,8,0,1,0,1,3,0,7,0,0,3486,63,987,0.6
16,930,10,1,144,1289,13,10,0,1,4,1,1,1,8,1,1,2016,4,1017,1.0
19,1949,11,0,145,1178,5,3,0,0,7,0,0,1,7,0,0,356,57,951,1.4
2,947,13,1,197,1220,16,12,0,0,0,1,2,0,2,0,1,2842,22,1176,0.8
10,1510,8,1,135,1520,8,2,0,0,1,0,1,0,3,1,1,854,32,963,0.6
11,1008,15,1,114,1122,10,3,1,0,11,0,1,0,3,0,0,2009,61,1077,0.8
11,1309,14,1,100,1402,10,1,0,0,0,0,2,0,4,1,1,2334,33,557,1.1
9,932,2,1,154,1224,8,7,0,1,1,0,3,0,7,1,0,3817,64,1176,1.3
18,1590,17,1,122,1595,12,3,0,1,0,0,1,0,3,1,1,1201,7,1464,0.6
16,946,0,1,154,630,7,4,0,1,0,1,1,0,8,0,0,2104,19,159,2.1
5,543,7,1,132,1031,14,0,0,1,4,1,0,1,5,0,1,933,60,693,0.5
8,511,16,1,175,622,9,7,0,0,12,0,0,1,3,0,1,1484,50,140,0.6
3,1559,17,1,162,1559,9,1,0,1,6,1,3,1,6,1,1,3352,6,179,1.6
8,1851,2,1,112,1175,6,0,0,0,0,0,2,0,6,0,0,2678,53,174,2.9
3,1889,10,1,132,1106,5,1,1,1,5,1,3,0,1,1,0,3672,31,170,2.8
7,1836,1,1,104,1068,18,6,0,1,0,0,2,0,5,1,1,2469,14,168,1.1
10,1910,0,0,115,1284,8,4,0,0,0,0,0,1,2,1,0,309,34,985,1.7
18,1429,14,1,100,820,11,7,0,0,0,1,3,0,3,1,1,3945,40,246,1.5
12,922,14,1,157,1808,17,4,1,0,0,1,1,1,8,1,0,1464,47,1295,0.7
9,892,18,1,94,1782,12,3,0,0,0,1,1,1,1,1,0,1241,47,655,0.5
16,1321,9,1,109,941,7,6,0,1,0,1,1,1,8,1,0,1464,63,817,1.3
7,1068,13,1,184,1998,5,4,0,0,1,1,1,0,7,0,1,1803,37,186,2.0
6,1512,17,1,88,1897,12,10,0,1,8,1,3,1,3,1,0,3607,18,1079,0.5
16,1230,2,1,111,1963,18,17,0,1,0,1,2,1,7,1,0,1622,48,1960,1.6
10,1260,10,1,123,1313,12,11,0,0,2,1,2,1,7,1,1,2208,23,905,2.0
10,1777,7,1,100,874,10,8,0,1,0,0,1,0,4,0,1,1552,15,553,2.2
10,1992,14,1,141,895,10,9,0,1,11,0,3,1,1,0,1,3206,2,649,0.6
7,600,15,1,199,1032,17,4,0,1,9,1,2,1,2,0,0,3495,6,486,1.8
2,1642,2,0,102,1889,18,0,0,0,0,0,2,1,5,1,1,1333,5,1686,1.6
18,1939,10,1,199,520,14,10,0,1,0,1,0,1,4,0,1,1047,55,320,2.8
20,1949,1,1,101,1136,14,8,0,0,0,0,3,0,5,0,1,2478,23,839,1.3
10,1342,1,1,86,1638,15,5,0,1,0,1,3,0,7,0,0,2746,31,991,1.0
19,1530,13,0,177,1975,11,10,0,0,11,0,0,0,6,1,0,725,42,454,2.0
9,696,8,0,197,907,18,8,0,0,6,0,1,0,3,1,0,2630,51,649,0.5
2,1015,14,0,102,679,5,1,0,1,5,0,1,1,3,0,0,2293,12,335,0.8
16,1814,2,1,141,786,18,12,0,0,1,1,3,0,2,0,1,3556,9,756,1.4
2,914,0,1,147,721,12,9,0,1,0,1,0,1,4,1,0,1122,26,706,0.5
6,664,4,1,110,1478,19,15,0,1,1,1,3,1,7,1,1,3629,51,701,1.1
7,1186,4,1,160,584,17,8,0,0,2,0,1,1,8,0,1,2361,21,68,0.5
18,1832,6,0,90,654,18,7,0,0,2,0,2,0,7,0,0,2978,2,186,0.7
10,959,16,1,155,736,10,9,0,1,15,0,2,1,4,1,0,3328,13,87,1.7
3,1183,12,1,120,1010,8,3,0,0,3,1,0,1,8,0,1,1152,48,268,0.5
3,1615,16,0,132,1256,16,2,0,0,14,0,3,0,4,1,0,3488,15,622,0.5
16,1136,2,1,150,1767,9,5,0,0,0,1,2,0,6,1,0,2110,9,1307,0.5
7,703,20,1,113,1065,14,7,0,0,12,1,0,1,1,0,0,1472,30,218,2.7
15,1569,16,1,111,1383,15,2,0,0,8,0,3,0,3,1,1,3672,59,1261,0.8
2,1979,9,1,176,1532,8,2,1,1,0,1,0,1,3,1,1,411,19,1331,2.9
18,1620,3,1,185,1033,6,0,0,0,0,1,0,1,3,0,1,606,30,832,2.2
11,1533,20,1,160,1393,8,2,0,0,18,1,2,1,4,1,1,2520,17,1054,1.1
3,1077,13,1,86,1892,9,3,0,0,1,0,3,1,7,0,1,3902,58,135,1.7
7,1166,1,1,80,603,7,1,0,1,0,1,3,0,4,0,1,3993,43,205,1.5
16,1392,2,1,113,1098,8,1,0,0,0,1,1,0,4,1,0,1280,44,482,2.5
4,1397,15,1,121,1658,18,15,0,1,5,1,1,0,3,1,1,1378,3,433,2.4
7,1807,0,1,97,1814,7,6,0,0,0,1,1,0,8,0,1,1069,38,1332,0.8
2,1413,11,0,117,517,16,5,0,0,5,0,3,0,5,0,1,3383,51,187,0.5
16,659,10,1,169,730,16,10,0,1,7,1,1,0,8,0,1,2190,5,659,0.5
16,1924,0,1,136,1923,10,9,0,0,0,1,3,0,6,1,0,3646,59,1438,2.6
2,501,19,1,131,1089,13,12,0,0,12,1,1,0,4,1,0,2346,54,504,2.3
6,1283,6,1,80,1923,17,15,0,0,0,1,3,1,4,0,1,3957,27,1135,0.7
12,1208,19,1,175,1028,17,16,1,0,5,1,1,0,1,0,0,2201,16,691,2.9
3,831,12,1,86,1239,12,11,0,1,10,0,0,0,6,0,0,1075,55,172,2.4
9,934,12,0,112,1463,12,7,0,0,7,0,0,0,5,1,0,1017,24,1111,1.1
20,1205,10,0,163,1870,18,11,0,1,5,0,0,1,6,1,0,953,10,321,2.7
19,1966,16,1,144,1973,6,4,0,1,15,1,2,0,1,1,1,1252,48,1242,0.8
14,865,12,0,89,1009,13,3,0,0,5,0,3,0,4,1,0,3494,16,335,2.9
20,1606,4,0,154,1924,13,8,0,0,3,0,3,0,4,1,0,3454,57,1127,1.4
7,1490,8,1,150,1464,17,9,0,1,4,1,3,1,8,1,1,3600,64,1417,0.5
20,534,1,1,189,1199,16,12,1,0,0,1,3,0,5,0,1,3926,16,393,0.5
20,1554,18,1,105,1492,13,9,0,0,7,0,2,0,6,1,1,2184,23,699,2.8
20,1447,5,0,184,1062,8,4,0,0,3,0,0,0,2,1,0,471,40,963,0.5
5,928,13,0,80,1243,19,10,0,1,11,0,0,1,8,0,1,666,56,221,0.5
8,1959,20,1,191,1055,7,4,0,1,5,0,0,0,6,1,1,619,18,65,0.5
15,1341,1,0,107,574,18,14,0,1,0,0,1,1,8,0,1,2200,36,473,2.1
16,576,5,0,162,893,11,6,0,1,1,0,2,0,8,1,0,2800,30,847,1.2
17,1082,5,0,198,1191,6,1,0,1,0,0,2,0,8,1,0,2337,38,986,0.8
5,885,0,1,103,802,16,10,0,1,0,1,0,0,7,1,1,1410,15,769,2.3
5,914,4,1,198,840,14,8,0,0,1,1,3,1,5,0,0,3736,60,740,0.7
4,1216,7,0,199,1967,13,5,0,1,4,0,2,0,3,1,0,2268,47,1852,3.0
12,1552,18,1,180,658,13,6,0,0,10,1,2,0,8,0,0,2606,53,430,1.2
4,674,4,1,198,1809,6,3,0,1,1,0,0,1,3,1,1,1180,21,576,2.9
16,904,7,0,147,1496,19,18,0,0,4,0,0,0,6,0,1,545,19,1094,2.7
4,668,19,1,114,1292,14,12,0,1,2,1,0,0,1,0,0,1201,48,195,2.3
4,1212,8,1,102,1715,14,3,0,1,1,1,2,0,4,1,0,2249,46,611,2.6
9,713,14,0,94,1123,12,10,0,0,0,0,0,0,1,1,1,928,42,1048,0.9
16,1395,1,1,118,1787,11,2,0,1,0,1,3,1,3,0,0,3373,55,782,2.8
10,1003,19,1,119,1905,16,7,0,0,16,1,1,1,8,0,0,1798,16,190,2.9
7,1348,20,1,98,1942,18,11,0,1,18,0,1,0,3,1,0,955,52,1869,2.0
10,1367,6,0,176,642,6,2,0,1,4,0,0,0,2,0,0,299,56,36,2.9
20,658,3,1,103,1750,14,11,0,0,0,1,3,1,7,0,0,3587,12,1156,2.7
4,1272,8,1,133,669,19,4,0,0,0,0,1,1,6,0,1,2235,22,605,2.5
15,541,0,1,127,1873,19,9,0,1,0,1,1,0,4,0,0,1019,10,1836,1.0
5,786,6,1,141,1697,12,11,0,0,0,0,2,0,7,1,1,2390,33,507,2.2
5,561,10,1,163,1176,16,2,0,1,0,0,2,1,8,1,0,3421,11,492,1.0
9,1546,4,1,101,1317,15,11,0,0,3,1,3,1,1,0,1,3521,6,91,0.5
17,1948,10,0,100,1940,9,7,0,1,8,0,3,0,5,0,1,3630,16,631,2.8
4,1193,20,1,166,1729,17,14,0,0,11,0,0,0,1,1,0,536,26,730,0.9
17,1575,20,1,185,818,7,3,0,1,0,1,2,0,7,0,1,2182,11,492,2.5
7,569,9,1,184,739,7,6,0,0,2,0,1,0,8,1,1,2811,39,389,0.6
20,1236,14,1,188,809,14,12,0,0,2,1,0,0,1,1,1,1406,57,517,0.9
15,1997,8,1,185,1212,7,6,0,0,1,0,2,1,4,0,1,1655,40,866,1.8
9,781,7,0,88,607,17,10,0,0,1,0,3,1,2,0,1,3862,64,368,1.3
3,957,0,1,160,1682,12,4,0,1,0,1,1,1,2,0,0,1898,4,38,0.7
2,1469,8,1,150,1850,17,16,0,0,3,1,2,0,7,0,0,1571,58,1699,0.5
12,1730,10,1,143,1023,14,0,0,1,0,1,1,0,4,0,1,1595,20,418,2.0
7,1829,1,0,112,563,11,4,0,0,0,0,1,0,5,0,0,1475,36,291,1.7
12,1919,6,1,150,1191,19,13,0,0,5,1,1,0,4,1,0,1391,48,304,1.5
14,797,20,1,81,1466,9,3,0,1,4,0,1,1,8,1,1,2052,18,888,1.5
2,659,7,1,110,1929,15,5,0,0,6,1,1,0,3,1,0,2044,6,1054,2.7
18,1410,1,1,92,1311,18,4,0,1,0,1,2,1,3,0,1,2304,15,192,0.5
9,1281,19,1,144,954,8,2,0,1,3,1,1,1,4,0,1,1851,8,590,2.8
16,514,8,0,141,1492,13,7,0,0,5,0,0,1,2,1,1,980,18,1083,2.9
5,754,10,1,178,1928,6,3,0,0,7,1,1,0,7,0,1,1027,59,1914,0.5
12,1871,14,1,81,1682,13,12,0,1,7,1,2,1,7,1,0,2144,20,88,2.0
7,508,8,1,94,557,13,12,0,0,7,1,0,0,1,0,0,663,42,39,0.8
12,1579,9,0,88,1739,17,11,0,0,0,0,3,1,7,1,1,3532,5,1358,0.5
19,1242,9,1,166,1796,11,10,0,0,8,0,0,1,4,0,0,318,28,315,2.4
6,1066,18,1,114,1571,19,13,0,1,2,1,0,0,7,0,0,468,7,1242,0.6
8,1472,19,1,168,1052,19,15,0,0,6,0,2,1,6,0,0,2677,61,710,2.3
18,1074,14,1,103,952,13,1,0,1,2,1,1,0,6,1,1,1948,9,946,2.4
15,1928,16,1,162,1004,14,12,0,1,5,0,0,0,5,1,0,696,5,229,2.6
16,1760,19,0,127,1383,19,12,0,1,5,0,2,0,8,0,1,2053,63,1382,1.4
11,1846,2,0,159,773,15,6,0,1,1,0,1,1,1,1,0,1333,19,83,0.6
17,823,19,1,148,1449,14,11,0,1,13,0,0,1,8,1,1,905,60,822,2.7
7,1497,9,1,92,1933,6,1,0,1,5,0,2,1,3,0,0,1329,32,1920,0.7
15,1048,19,1,194,1975,5,1,0,0,10,1,1,1,2,1,0,1458,28,966,0.9
5,507,11,1,141,1398,17,0,0,1,1,0,1,1,7,1,1,1702,32,936,0.5
20,1112,16,1,121,739,7,3,0,1,1,0,3,1,4,0,1,3655,53,234,0.5
16,765,0,1,153,793,11,1,0,1,0,1,0,0,7,0,0,1066,18,6,2.9
2,1048,4,1,182,1670,11,10,1,0,2,1,1,1,1,0,0,2146,29,29,1.5
10,991,6,1,158,1678,11,9,0,0,2,1,2,0,5,0,0,2014,12,1209,2.0
20,534,1,1,189,1199,16,12,1,0,0,1,3,0,5,0,1,3926,16,393,0.5
18,705,9,1,155,1374,15,11,0,1,5,1,1,1,6,1,0,1509,57,1114,0.5
15,1225,0,1,155,982,16,8,0,1,0,0,1,1,5,0,0,1970,15,840,2.4
19,1956,2,1,87,776,13,1,0,1,0,1,1,0,3,0,0,1109,37,185,2.2
4,584,0,1,168,1622,12,8,0,1,0,1,0,1,3,0,0,465,19,1123,1.8
2,1254,3,1,146,1956,7,2,0,1,0,1,1,0,3,1,0,606,45,1571,1.7
20,1180,20,1,144,1252,7,3,1,1,5,1,1,1,4,1,0,1464,50,925,1.2
16,623,12,1,197,1238,10,1,0,0,6,1,1,1,7,0,0,1769,26,484,0.8
2,1540,12,1,197,822,19,0,0,0,1,0,1,0,7,1,1,1591,60,704,0.7
10,1432,18,1,164,947,14,4,0,1,6,1,0,1,4,0,1,504,39,209,1.7
10,850,19,1,133,642,19,17,0,0,6,1,0,1,5,1,1,593,29,404,1.6
7,1442,3,1,145,1668,11,8,0,1,0,1,2,0,5,0,0,1513,56,1626,2.2
12,1038,5,1,141,638,11,0,0,1,3,0,3,0,1,1,0,3709,43,4,1.2
6,1589,7,1,85,1206,19,10,0,1,0,1,3,1,7,1,1,3464,58,319,0.6
17,1356,19,1,131,951,5,2,0,1,0,0,3,1,1,1,1,3451,35,782,0.5
16,1188,0,1,114,1558,12,11,0,0,0,1,3,1,2,1,1,2896,9,1339,1.4
9,1063,4,1,128,683,15,13,1,1,2,1,2,0,5,1,1,2910,48,127,1.4
15,874,20,0,185,1248,6,4,0,0,5,0,0,0,1,0,0,582,8,442,1.3
6,1417,4,1,114,1649,11,3,0,0,2,1,0,1,6,1,0,590,56,494,2.7
17,1168,10,0,90,1578,9,4,0,0,9,0,3,0,8,1,0,3173,61,159,1.3
11,1732,9,1,119,881,16,7,0,0,4,1,1,1,8,1,0,1308,12,824,1.1
10,1701,15,1,115,828,11,0,0,1,13,1,3,1,2,0,0,3717,46,364,0.5
6,1648,9,1,170,1876,8,1,0,1,6,1,1,0,4,0,0,610,64,1153,0.7
5,1269,15,0,118,1920,18,5,0,0,14,0,1,1,2,0,0,665,52,1597,1.3
17,1109,4,1,173,1103,13,5,0,0,1,0,2,0,1,1,0,2821,34,165,2.1
14,1330,5,1,177,892,9,4,0,1,1,0,2,1,1,1,1,2678,40,194,1.8
7,1154,2,1,181,1499,5,3,0,0,0,1,0,0,8,1,1,978,49,541,1.2
5,1344,3,1,190,556,8,1,0,1,1,0,1,0,1,0,0,2074,14,419,1.5
2,854,9,1,101,1148,7,0,0,0,5,1,2,0,4,0,0,3115,17,730,1.0
8,721,9,1,194,1988,8,4,0,0,6,1,0,0,4,1,1,530,6,1446,0.5
6,930,16,1,190,1726,7,2,0,0,3,1,2,1,4,1,1,2131,34,1050,0.5
11,517,8,1,183,974,17,16,0,0,3,1,3,0,4,1,1,3704,33,660,1.4
16,1306,9,1,174,1258,6,5,0,0,2,1,2,1,3,0,1,2521,33,867,2.1
17,723,7,0,102,1901,19,9,0,1,4,0,2,1,1,1,0,2339,30,1467,1.9
17,1494,17,1,93,1003,14,13,0,1,6,1,1,0,7,0,0,1208,3,944,2.4
11,1130,8,1,101,1579,14,5,0,1,0,0,0,0,1,0,1,315,27,1495,1.8
7,1855,18,1,187,1161,7,0,0,0,5,0,3,0,8,1,0,3933,32,267,0.5
19,1692,12,1,176,1996,16,7,0,0,3,1,1,1,6,0,0,1354,61,975,2.1
14,842,10,0,124,730,8,4,1,1,4,0,1,1,3,0,1,1903,57,348,1.8
17,1420,8,0,100,1393,17,1,0,1,1,0,0,0,8,1,1,763,50,194,2.8
18,1839,11,1,200,1493,19,10,0,0,9,1,1,1,7,1,0,927,54,475,1.2
4,1262,16,0,149,737,13,3,0,1,12,0,2,0,5,1,1,3248,34,223,1.8
7,1633,19,1,111,906,9,0,0,1,3,1,0,0,2,0,1,511,33,146,1.7
18,783,4,1,106,1471,16,4,1,1,0,1,1,0,3,0,1,2016,43,1198,1.8
14,564,3,1,130,1737,9,2,0,0,1,0,1,0,2,1,1,2227,8,853,3.0
8,1136,19,1,150,1030,10,3,0,1,15,0,3,1,6,1,0,3210,32,961,1.6
9,1733,20,1,119,527,17,16,1,0,3,1,3,1,6,0,0,3576,36,357,2.8
8,1260,6,1,106,736,13,1,1,1,5,1,2,0,6,0,0,2710,13,165,0.6
15,506,7,1,159,1025,13,10,0,0,6,1,2,0,1,0,0,2965,41,875,1.6
8,1800,6,1,100,823,10,8,0,0,2,1,3,1,7,1,0,3481,8,400,0.7
18,1893,11,0,134,763,14,3,0,1,8,0,3,1,2,1,1,3822,63,637,2.1
6,1225,15,1,107,1567,17,11,0,0,6,0,2,0,2,0,1,2423,60,10,0.7
11,1330,1,1,183,1441,9,0,1,0,0,0,1,0,7,1,0,1733,38,1290,0.5
15,1890,5,1,127,1832,10,4,0,0,4,1,3,0,4,1,0,2392,48,1438,1.1
8,1688,0,1,170,864,17,14,0,1,0,1,3,0,7,1,0,3984,21,650,2.5
19,702,3,1,141,1570,10,4,0,0,2,1,2,0,3,0,1,2955,9,504,2.6
11,862,15,0,165,1758,16,3,0,0,3,0,0,1,2,1,1,278,23,793,0.8
19,1975,17,0,151,1607,13,5,0,0,2,0,3,1,1,1,1,3022,31,775,1.9
3,720,14,1,165,1234,14,7,0,1,12,1,0,1,4,0,1,1086,14,366,0.9
20,987,9,1,107,820,9,4,0,0,0,1,3,0,3,1,1,3963,61,581,1.3
9,1638,11,1,189,563,19,9,0,1,6,0,2,0,1,1,0,2299,2,440,1.0
2,1406,5,1,98,1366,9,8,0,0,2,1,3,0,3,1,1,3915,34,1017,0.5
6,1692,6,1,139,1925,16,10,0,1,4,1,1,0,1,0,1,1394,46,674,2.3
6,1322,3,1,157,708,15,8,0,0,1,1,3,0,1,0,1,3684,35,443,2.3
6,1329,2,1,181,1458,8,6,0,0,1,0,1,1,6,1,0,1228,52,1053,1.0
20,1804,19,1,153,1244,9,1,0,0,9,1,3,0,7,1,0,3472,22,1158,0.5
8,1811,16,1,98,568,13,7,0,1,4,1,2,1,4,1,0,2700,5,447,2.5
17,544,15,1,129,610,13,4,0,1,2,1,0,1,5,0,1,1675,7,227,0.5
7,961,16,1,152,621,15,6,0,1,10,0,2,1,6,1,1,2981,51,554,1.5
20,1886,1,1,112,1958,16,7,0,0,0,1,1,0,3,1,0,1179,24,809,0.5
10,689,11,1,103,823,10,1,0,0,2,0,3,0,5,0,0,3585,45,256,1.4
4,1796,11,1,184,1363,17,7,0,1,4,0,3,1,2,0,0,3577,44,1024,2.3
16,1108,12,1,140,1666,12,0,0,0,3,0,3,0,5,0,0,3254,49,1298,1.0
13,1009,15,1,115,1841,19,8,0,0,7,1,2,1,7,0,1,2286,2,267,2.8
6,672,17,1,99,1267,16,7,0,0,7,1,0,0,8,0,0,1403,35,574,0.5
18,1896,13,1,141,794,9,7,0,0,8,1,3,0,2,0,1,3684,7,447,0.5
8,605,14,1,162,656,15,9,0,0,9,1,1,0,2,0,0,2301,18,329,1.5
