Unnamed: 0,index,talk_time,battery_power,pc,three_g,mobile_wt,px_width,sc_h,sc_w,m_dep,touch_screen,fc,four_g,hgv,price_range,blue,n_cores,wifi,dual_sim,ram,werf,int_memory,px_height,clock_speed
81,2029,14.0,1665.0,18.0,1.0,194.0,1684.0,18.0,17.0,0.2,0.0,3.0,1.0,14.0,2.0,1.0,6.0,0.0,0.0,1601.0,9156615,60.0,1572.0,0.5
84,692,5.0,781.0,7.0,0.0,198.0,1674.0,13.0,8.0,0.4,0.0,2.0,0.0,5.0,3.0,0.0,5.0,1.0,0.0,3508.0,9156615,38.0,304.0,1.1
87,826,4.0,1788.0,20.0,1.0,150.0,1073.0,12.0,2.0,0.3,0.0,15.0,1.0,4.0,2.0,1.0,6.0,1.0,1.0,2655.0,9156615,2.0,472.0,0.5
94,1234,5.0,578.0,13.0,1.0,170.0,1134.0,15.0,12.0,0.3,1.0,9.0,1.0,5.0,2.0,1.0,5.0,1.0,0.0,2977.0,9156615,62.0,626.0,0.5
102,458,19.0,664.0,5.0,1.0,106.0,1497.0,17.0,15.0,0.9,1.0,0.0,0.0,19.0,1.0,0.0,5.0,0.0,1.0,2042.0,9156615,28.0,754.0,1.2
104,576,14.0,587.0,16.0,1.0,170.0,1793.0,9.0,2.0,0.7,1.0,4.0,0.0,14.0,2.0,1.0,1.0,0.0,1.0,2777.0,9156615,6.0,612.0,2.3
107,856,20.0,994.0,3.0,1.0,173.0,530.0,5.0,2.0,0.5,1.0,0.0,0.0,20.0,2.0,1.0,3.0,1.0,1.0,3190.0,9156615,56.0,491.0,2.8
111,1484,3.0,1689.0,15.0,1.0,150.0,675.0,8.0,4.0,0.5,0.0,11.0,0.0,3.0,2.0,1.0,5.0,0.0,0.0,2637.0,9156615,9.0,467.0,0.5
121,2015,11.0,1008.0,15.0,1.0,114.0,1122.0,10.0,3.0,1.0,0.0,11.0,0.0,11.0,1.0,0.0,3.0,0.0,0.0,2009.0,9156615,61.0,1077.0,0.8
133,835,13.0,1224.0,18.0,1.0,157.0,563.0,10.0,5.0,1.0,1.0,9.0,0.0,13.0,3.0,1.0,1.0,0.0,0.0,3796.0,9156615,33.0,522.0,1.6
137,549,19.0,1002.0,4.0,1.0,83.0,1416.0,16.0,5.0,0.5,0.0,0.0,1.0,19.0,1.0,0.0,2.0,1.0,1.0,1726.0,9156615,35.0,1345.0,0.8
140,2141,11.0,1891.0,14.0,1.0,129.0,1108.0,8.0,6.0,0.4,0.0,7.0,1.0,11.0,3.0,0.0,7.0,0.0,0.0,3704.0,9156615,37.0,169.0,2.8
155,883,6.0,1918.0,5.0,0.0,139.0,1203.0,9.0,6.0,0.3,1.0,1.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,1369.0,9156615,22.0,381.0,2.8
158,2198,8.0,977.0,7.0,0.0,181.0,566.0,7.0,1.0,0.6,1.0,2.0,0.0,8.0,0.0,1.0,6.0,1.0,1.0,1206.0,9156615,57.0,63.0,1.1
161,1537,19.0,733.0,12.0,1.0,138.0,1787.0,12.0,0.0,0.4,1.0,7.0,0.0,19.0,2.0,0.0,4.0,0.0,0.0,2648.0,9156615,16.0,202.0,0.8
167,1875,2.0,868.0,7.0,0.0,137.0,1311.0,13.0,0.0,0.4,0.0,5.0,0.0,2.0,0.0,1.0,4.0,1.0,0.0,1519.0,9156615,5.0,40.0,0.9
172,2142,14.0,1373.0,12.0,1.0,127.0,673.0,8.0,3.0,0.2,0.0,2.0,0.0,14.0,3.0,1.0,7.0,0.0,1.0,3800.0,9156615,50.0,105.0,1.0
173,802,14.0,1591.0,16.0,1.0,161.0,1641.0,10.0,9.0,1.0,1.0,4.0,1.0,14.0,0.0,1.0,3.0,1.0,1.0,282.0,9156615,52.0,548.0,2.2
175,1909,18.0,955.0,10.0,1.0,155.0,1254.0,14.0,1.0,0.6,1.0,2.0,0.0,18.0,1.0,1.0,4.0,0.0,0.0,1974.0,9156615,2.0,428.0,0.5
176,1088,12.0,1655.0,12.0,1.0,105.0,1348.0,10.0,3.0,0.1,0.0,6.0,1.0,12.0,0.0,1.0,3.0,0.0,1.0,673.0,9156615,4.0,626.0,0.5
192,1671,11.0,1146.0,10.0,1.0,111.0,583.0,19.0,9.0,0.4,1.0,5.0,1.0,11.0,0.0,0.0,5.0,1.0,0.0,291.0,9156615,57.0,73.0,3.0
196,332,12.0,1730.0,10.0,1.0,143.0,1023.0,14.0,0.0,0.1,1.0,0.0,1.0,12.0,1.0,0.0,4.0,0.0,1.0,1595.0,9156615,20.0,418.0,2.0
197,1239,17.0,1240.0,9.0,0.0,146.0,1756.0,13.0,1.0,0.1,0.0,0.0,0.0,17.0,3.0,0.0,2.0,1.0,0.0,3260.0,9156615,39.0,1511.0,1.6
202,2188,8.0,1563.0,13.0,0.0,151.0,572.0,11.0,1.0,0.1,0.0,10.0,0.0,8.0,3.0,0.0,7.0,1.0,1.0,3922.0,9156615,16.0,410.0,1.7
230,1655,20.0,1670.0,20.0,0.0,114.0,1330.0,6.0,0.0,0.5,0.0,14.0,0.0,20.0,3.0,1.0,8.0,1.0,0.0,3024.0,9156615,62.0,1117.0,3.0
232,757,4.0,554.0,10.0,0.0,105.0,806.0,10.0,7.0,0.1,1.0,0.0,0.0,4.0,2.0,1.0,6.0,1.0,0.0,3764.0,9156615,12.0,85.0,1.3
234,1261,6.0,1562.0,10.0,1.0,172.0,1676.0,16.0,11.0,0.8,1.0,1.0,1.0,6.0,3.0,0.0,8.0,0.0,1.0,3465.0,9156615,20.0,678.0,0.5
235,416,20.0,912.0,5.0,0.0,161.0,1053.0,19.0,5.0,0.3,1.0,1.0,0.0,20.0,1.0,1.0,8.0,0.0,0.0,2330.0,9156615,54.0,329.0,2.0
245,128,7.0,1957.0,16.0,1.0,181.0,1732.0,12.0,0.0,0.6,0.0,11.0,0.0,7.0,3.0,0.0,3.0,1.0,1.0,3801.0,9156615,31.0,396.0,0.9
256,1518,7.0,844.0,2.0,1.0,197.0,1995.0,14.0,11.0,0.9,0.0,1.0,1.0,7.0,3.0,0.0,7.0,0.0,1.0,3154.0,9156615,22.0,777.0,2.2
257,1176,4.0,1590.0,15.0,1.0,187.0,1109.0,6.0,5.0,0.5,0.0,12.0,1.0,4.0,3.0,0.0,4.0,0.0,1.0,2836.0,9156615,14.0,1058.0,1.5
276,93,2.0,879.0,15.0,1.0,83.0,1105.0,16.0,10.0,0.7,0.0,11.0,1.0,2.0,0.0,1.0,6.0,1.0,0.0,349.0,9156615,14.0,403.0,2.5
278,2145,7.0,957.0,10.0,1.0,107.0,1485.0,12.0,5.0,0.8,0.0,4.0,0.0,7.0,1.0,1.0,5.0,1.0,0.0,1846.0,9156615,7.0,1201.0,2.5
281,2210,13.0,645.0,17.0,1.0,184.0,1130.0,18.0,2.0,0.7,1.0,6.0,1.0,13.0,0.0,0.0,8.0,0.0,0.0,714.0,9156615,41.0,741.0,1.2
282,566,8.0,1170.0,15.0,1.0,83.0,1722.0,6.0,4.0,0.4,1.0,4.0,0.0,8.0,0.0,1.0,8.0,0.0,0.0,1073.0,9156615,30.0,27.0,1.2
290,2126,7.0,1689.0,18.0,0.0,127.0,1200.0,7.0,2.0,0.3,1.0,17.0,0.0,7.0,3.0,0.0,3.0,1.0,0.0,2766.0,9156615,24.0,954.0,1.8
299,881,5.0,1187.0,6.0,1.0,122.0,1125.0,10.0,3.0,0.2,1.0,0.0,1.0,5.0,2.0,0.0,6.0,0.0,0.0,2547.0,9156615,21.0,215.0,2.3
302,657,9.0,1778.0,17.0,1.0,132.0,516.0,15.0,13.0,1.0,1.0,3.0,1.0,9.0,1.0,0.0,4.0,0.0,1.0,1624.0,9156615,45.0,88.0,1.4
304,1215,19.0,1898.0,4.0,1.0,185.0,739.0,10.0,5.0,0.2,1.0,3.0,1.0,19.0,2.0,0.0,7.0,1.0,1.0,2114.0,9156615,56.0,444.0,1.8
307,1283,6.0,840.0,8.0,1.0,178.0,1728.0,12.0,2.0,0.3,1.0,5.0,1.0,6.0,2.0,0.0,6.0,0.0,1.0,2636.0,9156615,15.0,526.0,1.2
310,102,15.0,543.0,4.0,1.0,192.0,984.0,17.0,14.0,0.7,0.0,0.0,0.0,15.0,1.0,0.0,5.0,0.0,0.0,2413.0,9156615,57.0,391.0,0.5
317,1194,20.0,1299.0,6.0,0.0,187.0,1838.0,13.0,1.0,0.8,1.0,2.0,0.0,20.0,1.0,0.0,8.0,1.0,1.0,1412.0,9156615,60.0,1333.0,2.8
319,1146,16.0,1923.0,6.0,1.0,154.0,525.0,13.0,0.0,0.9,0.0,5.0,1.0,16.0,2.0,0.0,4.0,1.0,1.0,2519.0,9156615,14.0,15.0,1.0
325,1756,8.0,1864.0,6.0,0.0,181.0,1793.0,19.0,9.0,0.1,0.0,2.0,0.0,8.0,3.0,0.0,6.0,1.0,1.0,3586.0,9156615,57.0,1279.0,1.9
326,1374,10.0,1263.0,2.0,1.0,103.0,644.0,18.0,13.0,0.4,1.0,1.0,1.0,10.0,3.0,1.0,2.0,0.0,1.0,3372.0,9156615,32.0,409.0,1.4
343,1933,7.0,897.0,10.0,1.0,154.0,994.0,7.0,5.0,0.6,1.0,3.0,1.0,7.0,1.0,1.0,8.0,0.0,0.0,1958.0,9156615,2.0,0.0,2.0
350,2307,12.0,1126.0,3.0,1.0,160.0,1611.0,7.0,6.0,0.4,1.0,2.0,1.0,12.0,2.0,1.0,6.0,1.0,0.0,2050.0,9156615,10.0,1223.0,2.4
353,1219,16.0,984.0,20.0,1.0,140.0,707.0,18.0,15.0,0.8,0.0,3.0,1.0,16.0,0.0,0.0,3.0,0.0,1.0,841.0,9156615,9.0,531.0,0.5
359,1580,2.0,1897.0,7.0,1.0,154.0,738.0,17.0,11.0,0.3,0.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,412.0,9156615,54.0,630.0,1.9
360,415,16.0,755.0,12.0,1.0,186.0,990.0,10.0,1.0,0.3,0.0,5.0,1.0,16.0,2.0,1.0,4.0,1.0,0.0,2734.0,9156615,51.0,315.0,2.8
369,529,6.0,1821.0,18.0,1.0,114.0,1803.0,7.0,4.0,0.3,1.0,9.0,1.0,6.0,2.0,0.0,1.0,1.0,0.0,2430.0,9156615,12.0,97.0,0.9
379,866,9.0,1664.0,19.0,1.0,177.0,1929.0,12.0,7.0,0.5,0.0,9.0,1.0,9.0,2.0,1.0,7.0,0.0,1.0,1968.0,9156615,15.0,1178.0,2.9
381,1179,3.0,1880.0,1.0,1.0,104.0,1019.0,9.0,0.0,0.6,1.0,0.0,1.0,3.0,3.0,0.0,4.0,0.0,0.0,2968.0,9156615,7.0,890.0,0.5
388,266,16.0,1876.0,14.0,1.0,86.0,1564.0,10.0,8.0,0.3,1.0,10.0,1.0,16.0,3.0,0.0,6.0,0.0,0.0,2513.0,9156615,40.0,546.0,0.5
392,2159,8.0,1431.0,1.0,1.0,191.0,952.0,7.0,3.0,0.6,0.0,0.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,461.0,9156615,56.0,156.0,0.5
398,199,16.0,1905.0,20.0,1.0,119.0,1542.0,13.0,4.0,0.4,0.0,9.0,1.0,16.0,1.0,0.0,3.0,0.0,1.0,1287.0,9156615,36.0,825.0,0.6
399,1530,11.0,571.0,11.0,1.0,101.0,1536.0,19.0,10.0,0.6,0.0,5.0,1.0,11.0,0.0,1.0,6.0,1.0,1.0,555.0,9156615,58.0,31.0,2.0
410,1850,3.0,1944.0,10.0,1.0,132.0,1079.0,19.0,13.0,0.2,0.0,9.0,1.0,3.0,0.0,0.0,7.0,1.0,1.0,769.0,9156615,59.0,634.0,0.6
415,1078,17.0,1312.0,0.0,0.0,156.0,1791.0,14.0,13.0,0.9,1.0,0.0,0.0,17.0,3.0,1.0,6.0,0.0,1.0,3833.0,9156615,24.0,115.0,0.8
417,853,19.0,1195.0,6.0,1.0,80.0,1001.0,14.0,2.0,0.9,0.0,2.0,1.0,19.0,0.0,1.0,6.0,0.0,1.0,643.0,9156615,8.0,327.0,1.1
426,1138,15.0,1413.0,6.0,0.0,200.0,1606.0,5.0,4.0,0.2,1.0,2.0,0.0,15.0,2.0,1.0,6.0,0.0,0.0,2867.0,9156615,10.0,314.0,1.7
431,833,17.0,1368.0,7.0,0.0,115.0,1145.0,13.0,12.0,0.1,1.0,4.0,0.0,17.0,3.0,1.0,7.0,0.0,1.0,2941.0,9156615,9.0,843.0,1.6
432,1571,8.0,1253.0,10.0,1.0,113.0,647.0,7.0,3.0,0.9,1.0,0.0,1.0,8.0,3.0,0.0,4.0,1.0,0.0,3518.0,9156615,34.0,161.0,0.7
439,1779,17.0,1807.0,0.0,0.0,125.0,1415.0,8.0,5.0,0.2,1.0,0.0,0.0,17.0,3.0,1.0,3.0,0.0,0.0,2921.0,9156615,16.0,1221.0,2.9
442,22,20.0,1949.0,7.0,0.0,199.0,822.0,11.0,5.0,0.3,0.0,4.0,0.0,20.0,1.0,0.0,4.0,1.0,1.0,1433.0,9156615,47.0,407.0,2.6
460,1074,7.0,518.0,0.0,1.0,128.0,710.0,16.0,12.0,0.6,1.0,0.0,1.0,7.0,1.0,1.0,6.0,1.0,0.0,2514.0,9156615,62.0,489.0,2.4
463,2078,15.0,1165.0,12.0,1.0,178.0,831.0,19.0,12.0,0.2,0.0,11.0,0.0,15.0,0.0,1.0,6.0,0.0,0.0,764.0,9156615,41.0,564.0,2.4
465,1608,13.0,1129.0,10.0,1.0,116.0,1702.0,11.0,0.0,0.6,1.0,9.0,1.0,13.0,1.0,1.0,2.0,0.0,1.0,1400.0,9156615,21.0,1128.0,0.8
470,1492,10.0,1130.0,14.0,1.0,130.0,1327.0,6.0,1.0,0.7,1.0,1.0,1.0,10.0,0.0,1.0,1.0,1.0,1.0,432.0,9156615,29.0,593.0,0.5
481,1590,10.0,1640.0,11.0,1.0,87.0,1806.0,6.0,1.0,0.9,0.0,1.0,1.0,10.0,3.0,0.0,8.0,1.0,1.0,3235.0,9156615,36.0,664.0,0.5
488,1454,20.0,832.0,8.0,1.0,198.0,1431.0,15.0,4.0,0.6,1.0,5.0,1.0,20.0,1.0,1.0,1.0,1.0,0.0,1666.0,9156615,22.0,343.0,0.5
489,2455,12.0,537.0,2.0,1.0,103.0,1430.0,10.0,5.0,0.3,1.0,1.0,1.0,12.0,1.0,1.0,7.0,1.0,0.0,2029.0,9156615,55.0,1041.0,2.0
496,2458,12.0,713.0,8.0,1.0,89.0,1760.0,15.0,10.0,0.7,0.0,4.0,1.0,12.0,1.0,0.0,2.0,0.0,0.0,2082.0,9156615,63.0,103.0,1.6
508,1790,13.0,648.0,20.0,1.0,109.0,1817.0,5.0,0.0,0.4,0.0,9.0,1.0,13.0,3.0,1.0,5.0,0.0,1.0,3124.0,9156615,54.0,1153.0,0.5
510,1679,14.0,1470.0,9.0,1.0,121.0,1090.0,10.0,1.0,0.1,0.0,6.0,0.0,14.0,3.0,1.0,1.0,1.0,1.0,3259.0,9156615,45.0,777.0,1.7
513,499,11.0,869.0,4.0,1.0,104.0,539.0,13.0,3.0,0.1,0.0,3.0,0.0,11.0,3.0,0.0,2.0,0.0,1.0,3864.0,9156615,34.0,478.0,1.3
521,1345,6.0,947.0,15.0,1.0,144.0,887.0,17.0,1.0,0.1,1.0,1.0,1.0,6.0,2.0,1.0,2.0,1.0,0.0,2915.0,9156615,51.0,193.0,0.5
527,127,7.0,1564.0,17.0,1.0,189.0,1965.0,6.0,4.0,0.5,1.0,4.0,1.0,7.0,1.0,0.0,6.0,1.0,0.0,1496.0,9156615,25.0,1259.0,2.3
536,850,18.0,840.0,19.0,1.0,137.0,1081.0,12.0,8.0,0.8,1.0,0.0,1.0,18.0,3.0,0.0,7.0,0.0,0.0,3486.0,9156615,63.0,987.0,0.6
543,1980,16.0,930.0,10.0,1.0,144.0,1289.0,13.0,10.0,0.9,1.0,4.0,1.0,16.0,1.0,1.0,8.0,1.0,1.0,2016.0,9156615,4.0,1017.0,1.0
544,1034,19.0,1949.0,11.0,0.0,145.0,1178.0,5.0,3.0,0.3,0.0,7.0,0.0,19.0,0.0,1.0,7.0,0.0,0.0,356.0,9156615,57.0,951.0,1.4
545,2075,2.0,947.0,13.0,1.0,197.0,1220.0,16.0,12.0,0.1,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,2842.0,9156615,22.0,1176.0,0.8
550,1315,10.0,1510.0,8.0,1.0,135.0,1520.0,8.0,2.0,0.7,0.0,1.0,0.0,10.0,1.0,0.0,3.0,1.0,1.0,854.0,9156615,32.0,963.0,0.6
553,83,11.0,1008.0,15.0,1.0,114.0,1122.0,10.0,3.0,1.0,0.0,11.0,0.0,11.0,1.0,0.0,3.0,0.0,0.0,2009.0,9156615,61.0,1077.0,0.8
562,2021,11.0,1309.0,14.0,1.0,100.0,1402.0,10.0,1.0,0.5,0.0,0.0,0.0,11.0,2.0,0.0,4.0,1.0,1.0,2334.0,9156615,33.0,557.0,1.1
568,454,9.0,932.0,2.0,1.0,154.0,1224.0,8.0,7.0,0.7,1.0,1.0,0.0,9.0,3.0,0.0,7.0,1.0,0.0,3817.0,9156615,64.0,1176.0,1.3
572,727,18.0,1590.0,17.0,1.0,122.0,1595.0,12.0,3.0,0.3,1.0,0.0,0.0,18.0,1.0,0.0,3.0,1.0,1.0,1201.0,9156615,7.0,1464.0,0.6
576,632,16.0,946.0,0.0,1.0,154.0,630.0,7.0,4.0,0.2,1.0,0.0,1.0,16.0,1.0,0.0,8.0,0.0,0.0,2104.0,9156615,19.0,159.0,2.1
577,646,5.0,543.0,7.0,1.0,132.0,1031.0,14.0,0.0,0.7,1.0,4.0,1.0,5.0,0.0,1.0,5.0,0.0,1.0,933.0,9156615,60.0,693.0,0.5
578,1002,8.0,511.0,16.0,1.0,175.0,622.0,9.0,7.0,0.1,0.0,12.0,0.0,8.0,0.0,1.0,3.0,0.0,1.0,1484.0,9156615,50.0,140.0,0.6
581,259,3.0,1559.0,17.0,1.0,162.0,1559.0,9.0,1.0,0.5,1.0,6.0,1.0,3.0,3.0,1.0,6.0,1.0,1.0,3352.0,9156615,6.0,179.0,1.6
582,1598,8.0,1851.0,2.0,1.0,112.0,1175.0,6.0,0.0,0.7,0.0,0.0,0.0,8.0,2.0,0.0,6.0,0.0,0.0,2678.0,9156615,53.0,174.0,2.9
583,491,3.0,1889.0,10.0,1.0,132.0,1106.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,3672.0,9156615,31.0,170.0,2.8
588,1084,7.0,1836.0,1.0,1.0,104.0,1068.0,18.0,6.0,0.7,1.0,0.0,0.0,7.0,2.0,0.0,5.0,1.0,1.0,2469.0,9156615,14.0,168.0,1.1
590,966,10.0,1910.0,0.0,0.0,115.0,1284.0,8.0,4.0,0.6,0.0,0.0,0.0,10.0,0.0,1.0,2.0,1.0,0.0,309.0,9156615,34.0,985.0,1.7
593,2421,18.0,1429.0,14.0,1.0,100.0,820.0,11.0,7.0,0.9,0.0,0.0,1.0,18.0,3.0,0.0,3.0,1.0,1.0,3945.0,9156615,40.0,246.0,1.5
596,954,12.0,922.0,14.0,1.0,157.0,1808.0,17.0,4.0,1.0,0.0,0.0,1.0,12.0,1.0,1.0,8.0,1.0,0.0,1464.0,9156615,47.0,1295.0,0.7
626,975,9.0,892.0,18.0,1.0,94.0,1782.0,12.0,3.0,0.4,0.0,0.0,1.0,9.0,1.0,1.0,1.0,1.0,0.0,1241.0,9156615,47.0,655.0,0.5
627,1355,16.0,1321.0,9.0,1.0,109.0,941.0,7.0,6.0,0.4,1.0,0.0,1.0,16.0,1.0,1.0,8.0,1.0,0.0,1464.0,9156615,63.0,817.0,1.3
631,719,7.0,1068.0,13.0,1.0,184.0,1998.0,5.0,4.0,0.9,0.0,1.0,1.0,7.0,1.0,0.0,7.0,0.0,1.0,1803.0,9156615,37.0,186.0,2.0
634,581,6.0,1512.0,17.0,1.0,88.0,1897.0,12.0,10.0,0.1,1.0,8.0,1.0,6.0,3.0,1.0,3.0,1.0,0.0,3607.0,9156615,18.0,1079.0,0.5
642,1771,16.0,1230.0,2.0,1.0,111.0,1963.0,18.0,17.0,0.7,1.0,0.0,1.0,16.0,2.0,1.0,7.0,1.0,0.0,1622.0,9156615,48.0,1960.0,1.6
649,506,10.0,1260.0,10.0,1.0,123.0,1313.0,12.0,11.0,0.2,0.0,2.0,1.0,10.0,2.0,1.0,7.0,1.0,1.0,2208.0,9156615,23.0,905.0,2.0
654,1792,10.0,1777.0,7.0,1.0,100.0,874.0,10.0,8.0,0.2,1.0,0.0,0.0,10.0,1.0,0.0,4.0,0.0,1.0,1552.0,9156615,15.0,553.0,2.2
663,1585,10.0,1992.0,14.0,1.0,141.0,895.0,10.0,9.0,0.1,1.0,11.0,0.0,10.0,3.0,1.0,1.0,0.0,1.0,3206.0,9156615,2.0,649.0,0.6
664,1535,7.0,600.0,15.0,1.0,199.0,1032.0,17.0,4.0,0.8,1.0,9.0,1.0,7.0,2.0,1.0,2.0,0.0,0.0,3495.0,9156615,6.0,486.0,1.8
670,805,2.0,1642.0,2.0,0.0,102.0,1889.0,18.0,0.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,5.0,1.0,1.0,1333.0,9156615,5.0,1686.0,1.6
671,2035,18.0,1939.0,10.0,1.0,199.0,520.0,14.0,10.0,0.6,1.0,0.0,1.0,18.0,0.0,1.0,4.0,0.0,1.0,1047.0,9156615,55.0,320.0,2.8
683,2317,20.0,1949.0,1.0,1.0,101.0,1136.0,14.0,8.0,0.1,0.0,0.0,0.0,20.0,3.0,0.0,5.0,0.0,1.0,2478.0,9156615,23.0,839.0,1.3
704,1072,10.0,1342.0,1.0,1.0,86.0,1638.0,15.0,5.0,0.6,1.0,0.0,1.0,10.0,3.0,0.0,7.0,0.0,0.0,2746.0,9156615,31.0,991.0,1.0
715,2205,19.0,1530.0,13.0,0.0,177.0,1975.0,11.0,10.0,0.8,0.0,11.0,0.0,19.0,0.0,0.0,6.0,1.0,0.0,725.0,9156615,42.0,454.0,2.0
723,724,9.0,696.0,8.0,0.0,197.0,907.0,18.0,8.0,0.3,0.0,6.0,0.0,9.0,1.0,0.0,3.0,1.0,0.0,2630.0,9156615,51.0,649.0,0.5
725,1490,2.0,1015.0,14.0,0.0,102.0,679.0,5.0,1.0,0.5,1.0,5.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,2293.0,9156615,12.0,335.0,0.8
741,145,16.0,1814.0,2.0,1.0,141.0,786.0,18.0,12.0,0.4,0.0,1.0,1.0,16.0,3.0,0.0,2.0,0.0,1.0,3556.0,9156615,9.0,756.0,1.4
742,664,2.0,914.0,0.0,1.0,147.0,721.0,12.0,9.0,0.7,1.0,0.0,1.0,2.0,0.0,1.0,4.0,1.0,0.0,1122.0,9156615,26.0,706.0,0.5
745,2105,6.0,664.0,4.0,1.0,110.0,1478.0,19.0,15.0,0.1,1.0,1.0,1.0,6.0,3.0,1.0,7.0,1.0,1.0,3629.0,9156615,51.0,701.0,1.1
748,1502,7.0,1186.0,4.0,1.0,160.0,584.0,17.0,8.0,0.4,0.0,2.0,0.0,7.0,1.0,1.0,8.0,0.0,1.0,2361.0,9156615,21.0,68.0,0.5
758,515,18.0,1832.0,6.0,0.0,90.0,654.0,18.0,7.0,0.6,0.0,2.0,0.0,18.0,2.0,0.0,7.0,0.0,0.0,2978.0,9156615,2.0,186.0,0.7
768,927,10.0,959.0,16.0,1.0,155.0,736.0,10.0,9.0,0.4,1.0,15.0,0.0,10.0,2.0,1.0,4.0,1.0,0.0,3328.0,9156615,13.0,87.0,1.7
769,1493,3.0,1183.0,12.0,1.0,120.0,1010.0,8.0,3.0,0.1,0.0,3.0,1.0,3.0,0.0,1.0,8.0,0.0,1.0,1152.0,9156615,48.0,268.0,0.5
789,478,3.0,1615.0,16.0,0.0,132.0,1256.0,16.0,2.0,0.1,0.0,14.0,0.0,3.0,3.0,0.0,4.0,1.0,0.0,3488.0,9156615,15.0,622.0,0.5
793,1185,16.0,1136.0,2.0,1.0,150.0,1767.0,9.0,5.0,0.9,0.0,0.0,1.0,16.0,2.0,0.0,6.0,1.0,0.0,2110.0,9156615,9.0,1307.0,0.5
800,2077,7.0,703.0,20.0,1.0,113.0,1065.0,14.0,7.0,0.3,0.0,12.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,1472.0,9156615,30.0,218.0,2.7
803,1077,15.0,1569.0,16.0,1.0,111.0,1383.0,15.0,2.0,0.9,0.0,8.0,0.0,15.0,3.0,0.0,3.0,1.0,1.0,3672.0,9156615,59.0,1261.0,0.8
809,699,2.0,1979.0,9.0,1.0,176.0,1532.0,8.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,411.0,9156615,19.0,1331.0,2.9
812,626,18.0,1620.0,3.0,1.0,185.0,1033.0,6.0,0.0,0.2,0.0,0.0,1.0,18.0,0.0,1.0,3.0,0.0,1.0,606.0,9156615,30.0,832.0,2.2
813,1387,11.0,1533.0,20.0,1.0,160.0,1393.0,8.0,2.0,0.3,0.0,18.0,1.0,11.0,2.0,1.0,4.0,1.0,1.0,2520.0,9156615,17.0,1054.0,1.1
